Title,Heading,Content
Introduction,Abstract,"This NVIDIA TensorRT Developer Guide demonstrates how to use the C++ and Python APIs for implementing the most common deep learning layers. It shows how you can take an existing model built with a deep learning framework and build a TensorRT engine using the provided parsers. The Developer Guide also provides step-by-step instructions for common user tasks such as creating a TensorRT network definition, invoking the TensorRT builder, serializing and deserializing, and how to feed the engine with data and perform inference; all while using either the C++ or Python API."
Introduction,Introduction,"NVIDIA® TensorRT™ is an SDK that facilitates high-performance machine learning inference. It is designed to work in a complementary fashion with training frameworks such as TensorFlow, PyTorch, and MXNet. It focuses specifically on running an already-trained network quickly and efficiently on NVIDIA hardware."
Introduction,Structure of this guide,"Chapter 1 provides information about how TensorRT is packaged and supported, and how it fits into the developer ecosystem. Chapter 2 provides a broad overview of TensorRT capabilities. Chapters three and four contain introductions to the C++ and Python APIs respectively. Subsequent chapters provide more detail about advanced features."
Introduction,Samples,The NVIDIA TensorRT Sample Support Guide illustrates many of the topics discussed in this guide. Additional samples focusing on embedded applications can be found here.
Introduction,Complementary GPU Features,"Multi-Instance GPU, or MIG, is a feature of NVIDIA GPUs with NVIDIA Ampere Architecture or later architectures that enable user-directed partitioning of a single GPU into multiple smaller GPUs. The physical partitions provide dedicated compute and memory slices with QoS and independent execution of parallel workloads on fractions of the GPU. For TensorRT applications with low GPU utilization, MIG can produce higher throughput at small or no impact on latency. The optimal partitioning scheme is application-specific."
Introduction,Complementary Software,"The NVIDIA Triton™ Inference Server is a higher-level library providing optimized inference across CPUs and GPUs. It provides capabilities for starting and managing multiple models, and REST and gRPC endpoints for serving inference. NVIDIA DALI® provides high-performance primitives for preprocessing image, audio, and video data. TensorRT inference can be integrated as a custom operator in a DALI pipeline. A working example of TensorRT inference integrated as a part of DALI can be found here. TensorFlow-TensorRT (TF-TRT) is an integration of TensorRT directly into TensorFlow. It selects subgraphs of TensorFlow graphs to be accelerated by TensorRT, while leaving the rest of the graph to be executed natively by TensorFlow. The result is still a TensorFlow graph that you can execute as usual. For TF-TRT examples, refer to Examples for TensorRT in TensorFlow. Torch-TensorRT (Torch-TRT) is a PyTorch-TensorRT compiler that converts PyTorch modules into TensorRT engines. Internally, the PyTorch modules are first converted into TorchScript/FX modules based on the Intermediate Representation (IR) selected. The compiler selects subgraphs of the PyTorch graphs to be accelerated by TensorRT, while leaving the rest of the graph to be executed natively by Torch. The result is still a PyTorch module that you can execute as usual. For examples, refer to Examples for Torch-TRT. The TensorFlow-Quantization toolkit provides utilities for training and deploying Tensorflow 2-based Keras models at reduced precision. This toolkit is used to quantize different layers in the graph exclusively based on operator names, class, and pattern matching. The quantized graph can then be converted into ONNX and then into TensorRT engines. For examples, refer to the model zoo. The PyTorch Quantization Toolkit provides facilities for training PyTorch models at reduced precision, which can then be exported for optimization in TensorRT. In addition, the PyTorch Automatic SParsity (ASP) tool provides facilities for training models with structured sparsity, which can then be exported and allows TensorRT to use the faster sparse tactics on NVIDIA Ampere Architecture GPUs. TensorRT is integrated with NVIDIA’s profiling tools, NVIDIA Nsight™ Systems and NVIDIA® Deep Learning Profiler (DLProf). A restricted subset of TensorRT is certified for use in NVIDIA DRIVE® products. Some APIs are marked for use only in NVIDIA DRIVE and are not supported for general use."
Introduction,ONNX,"TensorRT’s primary means of importing a trained model from a framework is through the ONNX interchange format. TensorRT ships with an ONNX parser library to assist in importing models. Where possible, the parser is backward compatible up to opset 7; the ONNX Model Opset Version Converter can assist in resolving incompatibilities. The GitHub version may support later opsets than the version shipped with TensorRT refer to the ONNX-TensorRT operator support matrix for the latest information on the supported opset and operators. The ONNX operator support list for TensorRT can be found here. PyTorch natively supports ONNX export. For TensorFlow, the recommended method is tf2onnx. A good first step after exporting a model to ONNX is to run constant folding using Polygraphy. This can often solve TensorRT conversion issues in the ONNX parser and generally simplify the workflow. For details, refer to this example. In some cases, it may be necessary to modify the ONNX model further, for example, to replace subgraphs with plug-ins or reimplement unsupported operations in terms of other operations. To make this process easier, you can use ONNX-GraphSurgeon."
Introduction,Code Analysis Tools,"For guidance using the valgrind and clang sanitizer tools with TensorRT, refer to the Troubleshooting chapter."
Introduction,API Versioning,"TensorRT version number (MAJOR.MINOR.PATCH) follows Semantic Versioning 2.0.0 for its public APIs and library ABIs. Version numbers change as follows: MAJOR version when making incompatible API or ABI changes. PATCH version when making backward compatible bug fixes. Note that semantic versioning does not extend to serialized objects. To reuse plan files, and timing caches, version numbers must match across major, minor, patch, and build versions (with some exceptions for the safety runtime as detailed in the NVIDIA DRIVE OS 6.0 Developer Guide). Calibration caches can typically be reused within a major version but compatibility is not guaranteed."
Introduction,Deprecation Policy,"Deprecation is used to inform developers that some APIs and tools are no longer recommended for use. Beginning with version 8.0, TensorRT has the following deprecation policy: Deprecation notices are communicated in the TensorRT Release Notes. When using the C++ API: API functions are marked with the TRT_DEPRECATED_API macro. Enums are marked with the TRT_DEPRECATED_ENUM macro. All other locations are marked with the TRT_DEPRECATED macro. Classes, functions, and objects will have a statement documenting when they were deprecated. When using the Python API, deprecated methods and classes will issue deprecation warnings at runtime, if they are used. TensorRT provides a 12-month migration period after the deprecation. APIs and tools continue to work during the migration period. After the migration period ends, APIs and tools are removed in a manner consistent with semantic versioning. For any APIs and tools specifically deprecated in TensorRT 7.x, the 12-month migration period starts from the TensorRT 8.0 GA release date."
Introduction,Hardware Support Lifetime,TensorRT 8.5 will be the last release supporting NVIDIA Kepler (SM 3.x) devices. Support for Maxwell (SM 5.x) devices will be dropped in TensorRT 9.0.
Introduction,Support,"Support, resources, and information about TensorRT can be found online at https://developer.nvidia.com/tensorrt. This includes blogs, samples, and more. In addition, you can access the NVIDIA DevTalk TensorRT forum at https://devtalk.nvidia.com/default/board/304/tensorrt/ for all things related to TensorRT. This forum offers the possibility of finding answers, making connections, and getting involved in discussions with customers, developers, and TensorRT engineers."
Introduction,Reporting Bugs,"NVIDIA appreciates all types of feedback. If you encounter any problems, follow the instructions in the Reporting TensorRT Issues section to report the issues."
TensorRT's Capabilities,C++ and Python APIs,"TensorRT’s API has language bindings for both C++ and Python, with nearly identical capabilities. The Python API facilitates interoperability with Python data processing toolkits and libraries like NumPy and SciPy. The C++ API can be more efficient, and may better meet some compliance requirements, for example in automotive applications. Note: The Python API is not available for all platforms. For more information, refer to the NVIDIA TensorRT Support Matrix."
TensorRT's Capabilities,The Programming Model,"TensorRT operates in two phases. In the first phase, usually performed offline, you provide TensorRT with a model definition, and TensorRT optimizes it for a target GPU. In the second phase, you use the optimized model to run inference."
TensorRT's Capabilities,The Build Phase,"The highest-level interface for the build phase of TensorRT is the Builder (C++, Python). The builder is responsible for optimizing a model, and producing an Engine. In order to build an engine, you must: Create a network definition. Specify a configuration for the builder. Call the builder to create the engine. The NetworkDefinition interface (C++, Python) is used to define the model. The most common path to transfer a model to TensorRT is to export it from a framework in ONNX format, and use TensorRT’s ONNX parser to populate the network definition. However, you can also construct the definition step by step using TensorRT’s Layer (C++, Python) and Tensor (C++, Python) interfaces. Whichever way you choose, you must also define which tensors are the inputs and outputs of the network. Tensors that are not marked as outputs are considered to be transient values that can be optimized away by the builder. Input and output tensors must be named, so that at runtime, TensorRT knows how to bind the input and output buffers to the model. The BuilderConfig interface (C++, Python) is used to specify how TensorRT should optimize the model. Among the configuration options available, you can control TensorRT’s ability to reduce the precision of calculations, control the tradeoff between memory and runtime execution speed, and constrain the choice of CUDA® kernels. Since the builder can take minutes or more to run, you can also control how the builder searches for kernels, and cached search results for use in subsequent runs. After you have a network definition and a builder configuration, you can call the builder to create the engine. The builder eliminates dead computations, folds constants, and reorders and combines operations to run more efficiently on the GPU. It can optionally reduce the precision of floating-point computations, either by simply running them in 16-bit floating point, or by quantizing floating point values so that calculations can be performed using 8-bit integers. It also times multiple implementations of each layer with varying data formats, then computes an optimal schedule to execute the model, minimizing the combined cost of kernel executions and format transforms. The builder creates the engine in a serialized form called a plan, which can be deserialized immediately, or saved to disk for later use. Note: Engines created by TensorRT are specific to both the TensorRT version with which they were created and the GPU on which they were created. TensorRT’s network definition does not deep-copy parameter arrays (such as the weights for a convolution). Therefore, you must not release the memory for those arrays until the build phase is complete. When importing a network using the ONNX parser, the parser owns the weights, so it must not be destroyed until the build phase is complete. The builder times algorithms to determine the fastest. Running the builder in parallel with other GPU work may perturb the timings, resulting in poor optimization."
TensorRT's Capabilities,The Runtime Phase,"The highest-level interface for the execution phase of TensorRT is the Runtime (C++, Python). When using the runtime, you will typically carry out the following steps: Deserialize a plan to create an engine. Create an execution context from the engine. Then, repeatedly: Populate input buffers for inference. Call enqueueV3() on the execution context to run inference. The Engine interface (C++, Python) represents an optimized model. You can query an engine for information about the input and output tensors of the network - the expected dimensions, data type, data format, and so on. The ExecutionContext interface (C++, Python), created from the engine is the main interface for invoking inference. The execution context contains all of the state associated with a particular invocation - thus you can have multiple contexts associated with a single engine, and run them in parallel. When invoking inference, you must set up the input and output buffers in the appropriate locations. Depending on the nature of the data, this may be in either CPU or GPU memory. If not obvious based on your model, you can query the engine to determine in which memory space to provide the buffer. After the buffers are set up, inference can be invoked asynchronously (enqueueV3). The required kernels are enqueued on a CUDA stream, and control is returned to the application as soon as possible. Some networks require multiple control transfers between CPU and GPU, so control may not return immediately. To wait for completion of asynchronous execution, synchronize on the stream using cudaStreamSynchronize."
TensorRT's Capabilities,Plug-Ins,"TensorRT has a Plugin interface to allow applications to provide implementations of operations that TensorRT does not support natively. Plug-ins that are created and registered with TensorRT’s PluginRegistry can be found by the ONNX parser while translating the network. TensorRT ships with a library of plug-ins, and source for many of these and some additional plug-ins can be found here. Refer to the Extending TensorRT with Custom Layers chapter for more details."
TensorRT's Capabilities,Types and Precision,"TensorRT supports computations using FP32, FP16, INT8, Bool, and INT32 data types. When TensorRT chooses CUDA kernels to implement floating point operations in the network, it defaults to FP32 implementations. There are two ways to configure different levels of precision: To control precision at the model level, BuilderFlag options (C++, Python) can indicate to TensorRT that it may select lower-precision implementations when searching for the fastest (and because lower precision is generally faster, if allowed to, it typically will). Therefore, you can easily instruct TensorRT to use FP16 calculations for your entire model. For regularized models whose input dynamic range is approximately one, this typically produces significant speedups with negligible change in accuracy. For finer-grained control, where a layer must run at higher precision because part of the network is numerically sensitive or requires high dynamic range, arithmetic precision can be specified for that layer. Refer to the Reduced Precision section for more details."
TensorRT's Capabilities,Quantization,"TensorRT supports quantized floating point, where floating-point values are linearly compressed and rounded to 8-bit integers. This significantly increases arithmetic throughput while reducing storage requirements and memory bandwidth. When quantizing a floating-point tensor, TensorRT must know its dynamic range - that is, what range of values is important to represent - values outside this range are clamped when quantizing. Dynamic range information can be calculated by the builder (this is called calibration) based on representative input data. Or you can perform quantization-aware training in a framework and import the model to TensorRT with the necessary dynamic range information. Refer to the Working with INT8 chapter for more details."
TensorRT's Capabilities,Tensors and Data Formats,"When defining a network, TensorRT assumes that tensors are represented by multidimensional C-style arrays. Each layer has a specific interpretation of its inputs: for example, a 2D convolution will assume that the last three dimensions of its input are in CHW format - there is no option to use, for example a WHC format. Refer to the TensorRT Operator's Reference for how each layer interprets its inputs. Note that tensors are limited to at most 2^31-1 elements. While optimizing the network, TensorRT performs transformations internally (including to HWC, but also more complex formats) to use the fastest possible CUDA kernels. In general, formats are chosen to optimize performance, and applications have no control over the choices. However, the underlying data formats are exposed at I/O boundaries (network input and output, and passing data to and from plug-ins) to allow applications to minimize unnecessary format transformations. Refer to the I/O Formats section for more details."
TensorRT's Capabilities,Dynamic Shapes,"By default, TensorRT optimizes the model based on the input shapes (batch size, image size, and so on) at which it was defined. However, the builder can be configured to allow the input dimensions to be adjusted at runtime. In order to enable this, you specify one or more instances of OptimizationProfile (C++, Python) in the builder configuration, containing for each input a minimum and maximum shape, along with an optimization point within that range. TensorRT creates an optimized engine for each profile, choosing CUDA kernels that work for all shapes within the [minimum, maximum] range and are fastest for the optimization point - typically different kernels for each profile. You can then select among profiles at runtime. Refer to the Working with Dynamic Shapes chapter for more details."
TensorRT's Capabilities,DLA,"TensorRT supports NVIDIA’s Deep Learning Accelerator (DLA), a dedicated inference processor present on many NVIDIA SoCs that supports a subset of TensorRT’s layers. TensorRT allows you to execute part of the network on the DLA and the rest on GPU; for layers that can be executed on either device, you can select the target device in the builder configuration on a per-layer basis. Refer to the Working with DLA chapter for more details."
TensorRT's Capabilities,Updating Weights,"When building an engine, you can specify that it may later have its weights updated. This can be useful if you are frequently updating the weights of the model without changing the structure, such as in reinforcement learning or when retraining a model while retaining the same structure. Weight updates are performed using the Refitter (C++, Python) interface. Refer to the Refitting an Engine section for more details."
TensorRT's Capabilities,trtexec tool,Included in the samples directory is a command-line wrapper tool called trtexec. trtexec is a tool to use TensorRT without having to develop your own application. The trtexec tool has three main purposes: benchmarking networks on random or user-provided input data. generating serialized engines from models. generating a serialized timing cache from the builder. Refer to the trtexec section for more details.
TensorRT's Capabilities,Polygraphy,"Polygraphy is a toolkit designed to assist in running and debugging deep learning models in TensorRT and other frameworks. It includes a Python API and a command-line interface (CLI) built using this API. Among other things, with Polygraphy you can: Run inference among multiple backends, like TensorRT and ONNX-Runtime, and compare results (for example API,CLI). Convert models to various formats, for example, TensorRT engines with post-training quantization (for example API,CLI). View information about various types of models (for example CLI). Modify ONNX models on the command line: Extract subgraphs (for example CLI). Simplify and sanitize (for example CLI). Isolate faulty tactics in TensorRT (for example CLI). For more details, refer to the Polygraphy repository."
The C++ API,The Build Phase,"To create a builder, you first must instantiate the ILogger interface. You can then create an instance of the builder: IBuilder* builder = createInferBuilder(logger);"
The C++ API,Creating a Network Definition,"After the builder has been created, the first step in optimizing a model is to create a network definition: uint32_t flag = 1U <<static_cast<uint32_t> (NetworkDefinitionCreationFlag::kEXPLICIT_BATCH); INetworkDefinition* network = builder->createNetworkV2(flag); The kEXPLICIT_BATCH flag is required in order to import models using the ONNX parser. Refer to the Explicit Versus Implicit Batch section for more information."
The C++ API,Importing a Model Using the ONNX Parser,"Now, the network definition must be populated from the ONNX representation. The ONNX parser API is in the file NvOnnxParser.h, and the parser is in the nvonnxparser C++ namespace. #include “NvOnnxParser.h” using namespace nvonnxparser;"
The C++ API,Importing a Model Using the ONNX Parser,"You can create an ONNX parser to populate the network as follows: IParser*  parser = createParser(*network, logger);"
The C++ API,Importing a Model Using the ONNX Parser,"Then, read the model file and process any errors. parser->parseFromFile(modelFile,  static_cast<int32_t>(ILogger::Severity::kWARNING)); for (int32_t i = 0; i < parser.getNbErrors(); ++i) { std::cout << parser->getError(i)->desc() << std::endl; } An important aspect of a TensorRT network definition is that it contains pointers to model weights, which are copied into the optimized engine by the builder. Since the network was created using the parser, the parser owns the memory occupied by the weights, and so the parser object should not be deleted until after the builder has run."
The C++ API,Building an Engine,"The next step is to create a build configuration specifying how TensorRT should optimize the model. IBuilderConfig* config = builder->createBuilderConfig(); This interface has many properties that you can set in order to control how TensorRT optimizes the network. One important property is the maximum workspace size. Layer implementations often require a temporary workspace, and this parameter limits the maximum size that any layer in the network can use. If insufficient workspace is provided, it is possible that TensorRT will not be able to find an implementation for a layer. By default the workspace is set to the total global memory size of the given device; restrict it when necessary, for example, when multiple engines are to be built on a single device. config->setMemoryPoolLimit(MemoryPoolType::kWORKSPACE, 1U << 20); Once the configuration has been specified, the engine can be built. IHostMemory*  serializedModel = builder->buildSerializedNetwork(*network, *config); Since the serialized engine contains the necessary copies of the weights, the parser, network definition, builder configuration and builder are no longer necessary and may be safely deleted: delete parser; delete network; delete config; delete builder; The engine can then be saved to disk, and the buffer into which it was serialized can be deleted. delete serializedModel"
The C++ API,Building an Engine,"Note: Serialized engines are not portable across platforms or TensorRT versions. Engines are specific to the exact GPU model that they were built on (in addition to the platform and the TensorRT version). Since building engines is intended as an offline process, it can take significant time. Refer to the Optimizing Builder Performance section for how to make the builder run faster."
The C++ API,Deserializing a Plan,"Assuming you have previously serialized an optimized model and want to perform inference, you must create an instance of the Runtime interface. Like the builder, the runtime requires an instance of the logger: IRuntime* runtime = createInferRuntime(logger); After you have read the model into a buffer, you can deserialize it to obtain an engine: ICudaEngine* engine = runtime->deserializeCudaEngine(modelData, modelSize);"
The C++ API,Performing Inference,"The engine holds the optimized model, but to perform inference we must manage additional state for intermediate activations. This is done using the ExecutionContext interface: IExecutionContext *context = engine->createExecutionContext(); An engine can have multiple execution contexts, allowing one set of weights to be used for multiple overlapping inference tasks. (A current exception to this is when using dynamic shapes, when each optimization profile can only have one execution context.) To perform inference, you must pass TensorRT buffers for input and output, which TensorRT requires you to specify with calls to setTensorAddress, which takes the name of the tensor and the address of the buffer. You can query the engine using the names you provided for input and output tensors to find the right positions in the array: context->setTensorAddress(INPUT_NAME, inputBuffer); context->setTensorAddress(OUTPUT_NAME, outputBuffer); You can then call TensorRT’s method enqueueV3 to start inference asynchronously using a CUDA stream: context->enqueueV3(stream); It is common to enqueue data transfers with cudaMemcpyAsync() before and after the kernels to move data from the GPU if it is not already there. To determine when the kernels (and possibly cudaMemcpyAsyn()) are complete, use standard CUDA synchronization mechanisms such as events or waiting on the stream."
The Python API,Introduction,"This chapter illustrates basic usage of the Python API, assuming you are starting with an ONNX model. The onnx_resnet50.py sample illustrates this use case in more detail. The Python API can be accessed through the tensorrt module: import tensorrt as trt"
The Python API,The Build Phase,"To create a builder, you must first create a logger. The Python bindings include a simple logger implementation that logs all messages preceding a certain severity to stdout. logger = trt.Logger(trt.Logger.WARNING) Alternatively, it is possible to define your own implementation of the logger by deriving from the ILogger class: class MyLogger(trt.ILogger): def __init__(self): trt.ILogger.__init__(self) def log(self, severity, msg): pass # Your custom logging implementation here. logger = MyLogger() You can then create a builder: builder = trt.Builder(logger) Since building engines is intended as an offline process, it can take significant time. Refer to the Optimizing Builder Performance section for how to make the builder run faster."
The Python API,Creating a Network Definition,"After the builder has been created, the first step in optimizing a model is to create a network definition: network = builder.create_network(1 << int(trt.NetworkDefinitionCreationFlag.EXPLICIT_BATCH)) The EXPLICIT_BATCH flag is required in order to import models using the ONNX parser. Refer to the Explicit Versus Implicit Batch section for more information."
The Python API,Importing a Model Using the ONNX Parser,"Now, the network definition must be populated from the ONNX representation. You can create an ONNX parser to populate the network as follows: parser = trt.OnnxParser(network, logger) Then, read the model file and process any errors: success = parser.parse_from_file(model_path) for idx in range(parser.num_errors): print(parser.get_error(idx)) if not success: pass # Error handling code here"
The Python API,Building an Engine,"The next step is to create a build configuration specifying how TensorRT should optimize the model: config = builder.create_builder_config() This interface has many properties that you can set in order to control how TensorRT optimizes the network. One important property is the maximum workspace size. Layer implementations often require a temporary workspace, and this parameter limits the maximum size that any layer in the network can use. If insufficient workspace is provided, it is possible that TensorRT will not be able to find an implementation for a layer: config.set_memory_pool_limit(trt.MemoryPoolType.WORKSPACE, 1 << 20) # 1 MiB After the configuration has been specified, the engine can be built and serialized with: serialized_engine = builder.build_serialized_network(network, config) It may be useful to save the engine to a file for future use. You can do that like so: with open(“sample.engine”, “wb”) as f: f.write(serialized_engine) Note: Serialized engines are not portable across platforms or TensorRT versions. Engines are specific to the exact GPU model that they were built on (in addition to the platform and the TensorRT version)."
The Python API,Deserializing a Plan,"To perform inference, deserialize the engine using the Runtime interface. Like the builder, the runtime requires an instance of the logger. runtime = trt.Runtime(logger) You can then deserialize the engine from a memory buffer: engine = runtime.deserialize_cuda_engine(serialized_engine) If you want, first load the engine from a file: with open(“sample.engine”, “rb”) as f: serialized_engine = f.read()"
